Location,PopMale,PopFemale,PopTotal
Dominican Republic,5683.427,5649.548,11332.97
Ecuador,9078.523,9111.969,18190.491
Egypt,56987.686,55728.924,112716.599
El Salvador,3029.852,3335.108,6364.946
Equatorial Guinea,903.966,810.726,1714.674
Eritrea,1850.522,1898.387,3748.908
Estonia,628.676,694.093,1322.764
Eswatini,600.058,610.779,1210.829
Ethiopia,63545.704,62981.358,126527.064
Falkland Islands (Malvinas),1.921,1.912,3.811
Faroe Islands,27.592,25.724,53.295
Fiji,469.495,466.889,936.386
Finland,2740.782,2804.701,5545.476
